사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201501,2호선,홍대입구,1929,42,45905,4102,43456,19002,86687,38225,104278,135147,67453,126475,60009,93365,64558,106492,75328,142020,92442,169031,96553,164147,114184,168044,138935,178819,171776,209053,214130,268570,174075,243504,163301,135088,206675,102484,246644,87511,137977,64602,16096,22559,4,2584,0,0,0,0,20151223
201501,경의선,홍대입구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151223
201501,경의선,홍대입구,2,0,330,42,403,511,742,1476,725,4086,616,2996,570,2070,634,2643,888,3462,1005,3716,1163,3685,1434,3453,1892,3467,2385,4273,3199,4257,2497,3570,2420,1891,3279,1828,4734,1317,1965,1160,68,257,0,0,0,0,0,0,20151223
201501,공항철도 1호선,홍대입구,106,2,3212,276,4591,1786,8143,5179,10338,17316,7325,13764,6880,8675,7677,8655,8230,10763,9259,12161,9448,11189,10860,11440,12516,12038,15830,14214,20529,18533,15334,16560,13410,10031,17100,8226,19825,8021,10341,5832,892,1653,1,1,0,0,0,0,20151223
201502,2호선,홍대입구,1495,25,37498,3327,35857,15372,71875,32158,85791,109221,58658,105804,52329,85659,57431,99364,67466,130194,83483,159744,90472,154504,108653,158731,129140,167063,155084,191326,191278,230957,161072,210366,150662,122193,190296,91553,212797,78648,120764,55479,14149,20412,307,2179,0,53,0,0,20151223
201502,경의선,홍대입구,0,0,244,22,408,422,660,1167,718,2576,602,2160,590,1911,555,2745,823,3122,1008,3262,1067,3571,1342,3300,1718,3401,2114,3955,2950,4007,2290,3161,2192,1860,2948,1719,3213,1145,1634,1088,54,232,1,5,0,0,0,0,20151223
201502,공항철도 1호선,홍대입구,85,2,3070,230,4244,1561,7125,4541,8876,13565,6935,11243,6421,7780,6795,7680,7379,9693,8160,11357,8642,10441,9958,11025,11506,11247,14006,13319,18320,16568,14474,14969,12392,9180,15470,7620,16146,7168,8885,5652,922,1730,8,12,0,0,0,0,20151223
201503,2호선,홍대입구,1589,21,40942,4750,42501,19812,97966,47492,111814,156599,75429,158003,63482,108986,67710,106865,78703,132702,93907,154837,99721,152113,119350,154871,141719,172633,174578,211129,221955,269563,184449,252124,172891,140973,217354,107776,249002,92255,136819,67399,16513,23294,11,2529,0,0,0,0,20151223
201503,경의선,홍대입구,2,0,311,39,606,597,1105,2167,1211,4957,796,3694,706,2396,754,2633,967,3121,1266,3161,1339,3281,1608,3240,2149,3654,2815,4442,4075,5143,3261,3993,2818,2236,3733,1892,4501,1601,2088,1246,79,302,0,0,0,0,0,0,20151223
201503,공항철도 1호선,홍대입구,63,8,3598,286,5056,2038,10643,7071,11717,19864,8595,16342,7646,10279,7757,8989,8611,10382,9356,11639,9839,10739,10770,10843,12641,11858,16408,15017,22093,20465,17438,18214,15190,10684,18496,8997,21153,8868,10953,6461,886,1828,2,2,0,0,0,0,20151223
